Priority,Selected?,Region,Make,Model Family,Generation / Platform,Production Years,Body Style,Facelift / Visual Phase,Proposed VISUAL_FAMILY_ID,Variants that share this visual,China catalog?,Confidence,Hero Source Status,Candidate Hero URL,Hero License,Attribution Status,Notes
P0,Review,Southern Africa,Volkswagen,Polo,AW / Mk6,2018–present,Hatchback,Pre-facelift / facelift,VF-VOLKSWAGEN-POLO-AW-MK6-HATCHBACK-PRE-FACELIFT-FACELIFT,Powertrains share; GTI may be an overlay/separate pack if needed.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Ford,Ranger,T6,2011–2022,Single/Double Cab,Major facelift split,VF-FORD-RANGER-T6-SINGLE-DOUBLE-CAB-MAJOR-FACELIFT-SPLIT,Engines/transmissions/drivetrains share within body+phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Ford,Ranger,P703,2022–present,Single/Double Cab,Current,VF-FORD-RANGER-P703-SINGLE-DOUBLE-CAB-CURRENT,Powertrains share; Raptor separate.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Isuzu,D-Max,2nd generation,2012–2020,Single/Extended/Double Cab,Major facelift split,VF-ISUZU-D-MAX-2ND-GENERATION-SINGLE-EXTENDED-DOUBLE-CAB-MAJOR-FACELIFT-SPL,Powertrains share within body+phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Isuzu,D-Max,3rd generation,2020–present,Single/Extended/Double Cab,Current / facelift split,VF-ISUZU-D-MAX-3RD-GENERATION-SINGLE-EXTENDED-DOUBLE-CAB-CURRENT-FACELIFT-S,Powertrains share within body+phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Suzuki,Swift,Previous regional generation,2018–2024,Hatchback,Current phase,VF-SUZUKI-SWIFT-PREVIOUS-REGIONAL-GENERATION-HATCHBACK-CURRENT-PHASE,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Suzuki,Swift,Current generation,2024–present,Hatchback,Current,VF-SUZUKI-SWIFT-CURRENT-GENERATION-HATCHBACK-CURRENT,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Suzuki,Fronx,Current,2023–present,Crossover,Current,VF-SUZUKI-FRONX-CURRENT-CROSSOVER-CURRENT,Powertrains share.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Hyundai,Grand i10,Current regional generation,2020–present,Hatchback,Current / facelift,VF-HYUNDAI-GRAND-I10-CURRENT-REGIONAL-GENERATION-HATCHBACK-CURRENT-FACELIFT,Engines/transmissions share; sedan separate.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Chery,Tiggo 4 Pro / Tiggo Cross,Current regional family,2021–present,Crossover,Pre-Cross / Cross visual split,VF-CHERY-TIGGO-4-PRO-TIGGO-CROSS-CURRENT-REGIONAL-FAMILY-CROSSOVER-PRE-CROS,1.5 NA/Turbo/hybrid share only where body/fascia is same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,ChinaID exact sales version required.
P0,Review,Southern Africa,Haval,Jolion,B01,2021–present,Crossover,Jolion / Jolion Pro visible phases,VF-HAVAL-JOLION-B01-CROSSOVER-JOLION-JOLION-PRO-VISIBLE-PHASES,ICE/HEV share when exterior is same.,Yes,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Kia,Sonet,QY,2020–present,Crossover,Pre-facelift / facelift,VF-KIA-SONET-QY-CROSSOVER-PRE-FACELIFT-FACELIFT,Powertrains share.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Nissan,Magnite,HBN,2020–present,Crossover,Pre-facelift / facelift,VF-NISSAN-MAGNITE-HBN-CROSSOVER-PRE-FACELIFT-FACELIFT,Powertrains share.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Mahindra,Scorpio Pik Up,Current regional family,2007–present,Single/Double Cab,Major facelift split,VF-MAHINDRA-SCORPIO-PIK-UP-CURRENT-REGIONAL-FAMILY-SINGLE-DOUBLE-CAB-MAJOR-,Powertrains/drivetrains share per visible body.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Renault,Kwid,Current regional generation,2016–present,Hatchback,Pre-facelift / facelift,VF-RENAULT-KWID-CURRENT-REGIONAL-GENERATION-HATCHBACK-PRE-FACELIFT-FACELIFT,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Volkswagen,T-Cross,C1,2019–present,Crossover,Pre-facelift / facelift,VF-VOLKSWAGEN-T-CROSS-C1-CROSSOVER-PRE-FACELIFT-FACELIFT,Powertrains share.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Toyota,HiAce / Quantum,H200/H300,2005–present,Van/Minibus,H200 vs H300,VF-TOYOTA-HIACE-QUANTUM-H200-H300-VAN-MINIBUS-H200-VS-H300,Engines/transmissions share within body.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Body length/roof variants may split.
P1,Review,Southern Africa,Toyota,Corolla,E120/E130,2000–2007,Sedan,Generation,VF-TOYOTA-COROLLA-E120-E130-SEDAN-GENERATION,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,Corolla,E140/E150,2006–2013,Sedan,Generation/facelift,VF-TOYOTA-COROLLA-E140-E150-SEDAN-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,Corolla,E170,2013–2019,Sedan,Generation/facelift,VF-TOYOTA-COROLLA-E170-SEDAN-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,Corolla,E210,2018–present,Sedan/Hatch,Body + facelift split,VF-TOYOTA-COROLLA-E210-SEDAN-HATCH-BODY-FACELIFT-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,RAV4,XA30/XA40/XA50,2005–present,SUV,Generation split,VF-TOYOTA-RAV4-XA30-XA40-XA50-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,Land Cruiser Prado,J120/J150/J250,2002–present,SUV,Generation/facelift,VF-TOYOTA-LAND-CRUISER-PRADO-J120-J150-J250-SUV-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Toyota,Land Cruiser,J70/J200/J300,1984–present,SUV/Pickup,Generation/body split,VF-TOYOTA-LAND-CRUISER-J70-J200-J300-SUV-PICKUP-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Nissan,NP200,Logan pickup-derived,2008–2024,Pickup,Single family,VF-NISSAN-NP200-LOGAN-PICKUP-DERIVED-PICKUP-SINGLE-FAMILY,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Nissan,Navara,D40/D23,2004–present,Pickup,Generation/cab/facelift,VF-NISSAN-NAVARA-D40-D23-PICKUP-GENERATION-CAB-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Nissan,X-Trail,T30/T31/T32/T33,2000–present,SUV,Generation split,VF-NISSAN-X-TRAIL-T30-T31-T32-T33-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Nissan,Qashqai,J10/J11/J12,2006–present,Crossover,Generation split,VF-NISSAN-QASHQAI-J10-J11-J12-CROSSOVER-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mazda,BT-50,UN/UP/TF,2006–present,Pickup,Generation/cab split,VF-MAZDA-BT-50-UN-UP-TF-PICKUP-GENERATION-CAB-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mazda,Mazda3,BK/BL/BM-BN/BP,2003–present,Sedan/Hatch,Generation/body split,VF-MAZDA-MAZDA3-BK-BL-BM-BN-BP-SEDAN-HATCH-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mazda,CX-5,KE/KF,2012–present,Crossover,Generation/facelift,VF-MAZDA-CX-5-KE-KF-CROSSOVER-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Honda,Fit/Jazz,GD/GE/GK/GR,2001–present,Hatchback,Generation split,VF-HONDA-FIT-JAZZ-GD-GE-GK-GR-HATCHBACK-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Honda,Civic,8th–11th gen,2005–present,Sedan/Hatch,Generation/body split,VF-HONDA-CIVIC-8TH-11TH-GEN-SEDAN-HATCH-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Honda,CR-V,3rd–6th gen,2006–present,SUV,Generation split,VF-HONDA-CR-V-3RD-6TH-GEN-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mitsubishi,Triton,Recent regional generations,2006–present,Pickup,Generation/cab/facelift,VF-MITSUBISHI-TRITON-RECENT-REGIONAL-GENERATIONS-PICKUP-GENERATION-CAB-FACE,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mitsubishi,Pajero Sport,Recent generations,2008–present,SUV,Generation/facelift,VF-MITSUBISHI-PAJERO-SPORT-RECENT-GENERATIONS-SUV-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Hyundai,i20,PB/GB/BC3,2008–present,Hatchback,Generation split,VF-HYUNDAI-I20-PB-GB-BC3-HATCHBACK-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Hyundai,Creta,GS/SU2,2014–present,Crossover,Generation/facelift,VF-HYUNDAI-CRETA-GS-SU2-CROSSOVER-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Hyundai,Tucson,LM/TL/NX4,2009–present,SUV,Generation split,VF-HYUNDAI-TUCSON-LM-TL-NX4-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Kia,Picanto,TA/JA,2011–present,Hatchback,Generation/facelift,VF-KIA-PICANTO-TA-JA-HATCHBACK-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Kia,Rio,UB/YB,2011–present,Hatch/Sedan,Generation/body split,VF-KIA-RIO-UB-YB-HATCH-SEDAN-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Kia,Sportage,SL/QL/NQ5,2010–present,SUV,Generation split,VF-KIA-SPORTAGE-SL-QL-NQ5-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Renault,Duster,Recent generations,2010–present,SUV,Generation split,VF-RENAULT-DUSTER-RECENT-GENERATIONS-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Renault,Clio,IV/V,2012–present,Hatchback,Generation/facelift,VF-RENAULT-CLIO-IV-V-HATCHBACK-GENERATION-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Peugeot,208,A9/P21,2012–present,Hatchback,Generation split,VF-PEUGEOT-208-A9-P21-HATCHBACK-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Peugeot,2008,A94/P24,2013–present,Crossover,Generation split,VF-PEUGEOT-2008-A94-P24-CROSSOVER-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Peugeot,3008,Recent generations,2008–present,SUV,Generation split,VF-PEUGEOT-3008-RECENT-GENERATIONS-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Opel,Corsa,D/E/F,2006–present,Hatchback,Generation split,VF-OPEL-CORSA-D-E-F-HATCHBACK-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Chevrolet,Spark,M300/M400,2009–present,Hatchback,Generation split,VF-CHEVROLET-SPARK-M300-M400-HATCHBACK-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Chevrolet,Cruze,J300/J400,2008–present,Sedan/Hatch,Generation/body split,VF-CHEVROLET-CRUZE-J300-J400-SEDAN-HATCH-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,BMW,3 Series,E46/E90/F30/G20,1998–present,Sedan/Touring,Generation/body split,VF-BMW-3-SERIES-E46-E90-F30-G20-SEDAN-TOURING-GENERATION-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,BMW,X3,E83/F25/G01,2003–present,SUV,Generation split,VF-BMW-X3-E83-F25-G01-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,BMW,X5,E53/E70/F15/G05,1999–present,SUV,Generation split,VF-BMW-X5-E53-E70-F15-G05-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mercedes-Benz,C-Class,W203/W204/W205/W206,2000–present,Sedan,Generation split,VF-MERCEDES-BENZ-C-CLASS-W203-W204-W205-W206-SEDAN-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mercedes-Benz,E-Class,W211/W212/W213/W214,2002–present,Sedan,Generation split,VF-MERCEDES-BENZ-E-CLASS-W211-W212-W213-W214-SEDAN-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Mercedes-Benz,Sprinter,W906/W907,2006–present,Van,Generation/body length/roof,VF-MERCEDES-BENZ-SPRINTER-W906-W907-VAN-GENERATION-BODY-LENGTH-ROOF,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Land Rover,Range Rover Evoque,L538/L551,2011–present,SUV,Generation split,VF-LAND-ROVER-RANGE-ROVER-EVOQUE-L538-L551-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Land Rover,Discovery Sport,L550,2014–present,SUV,Major facelift,VF-LAND-ROVER-DISCOVERY-SPORT-L550-SUV-MAJOR-FACELIFT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Land Rover,Defender,L663,2020–present,SUV,90/110/130 body split,VF-LAND-ROVER-DEFENDER-L663-SUV-90-110-130-BODY-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Subaru,Forester,SH/SJ/SK/SL,2008–present,SUV,Generation split,VF-SUBARU-FORESTER-SH-SJ-SK-SL-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P1,Review,Southern Africa,Lexus,RX,AL10/AL20/ALA10,2008–present,SUV,Generation split,VF-LEXUS-RX-AL10-AL20-ALA10-SUV-GENERATION-SPLIT,Powertrain and trim variants share within the same visible body/generation phase.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa/China export,GWM,P-Series / P300,Current export family,2020–present,Pickup,Major visual phase,VF-GWM-P-SERIES-P300-CURRENT-EXPORT-FAMILY-PICKUP-MAJOR-VISUAL-PHASE,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,GWM,P500,Current,2024–present,Pickup,Current,VF-GWM-P500-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Haval,H6,3rd generation,2021–present,SUV,Pre-facelift/facelift,VF-HAVAL-H6-3RD-GENERATION-SUV-PRE-FACELIFT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Haval,H6 GT,Current,2022–present,Coupe SUV,Current,VF-HAVAL-H6-GT-CURRENT-COUPE-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Tank,300,Current,2020–present,SUV,Current/facelift,VF-TANK-300-CURRENT-SUV-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Tank,500,Current,2021–present,SUV,Current,VF-TANK-500-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,ORA,03 / Good Cat,Current,2020–present,Hatchback,Current,VF-ORA-03-GOOD-CAT-CURRENT-HATCHBACK-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BYD,Atto 3 / Yuan Plus,Current,2022–present,Crossover,Current/facelift,VF-BYD-ATTO-3-YUAN-PLUS-CURRENT-CROSSOVER-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BYD,Dolphin,Current,2021–present,Hatchback,Current/facelift,VF-BYD-DOLPHIN-CURRENT-HATCHBACK-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BYD,Seal,Current,2022–present,Sedan,Current,VF-BYD-SEAL-CURRENT-SEDAN-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BYD,Sealion 6 / Song Plus DM-i,Current,2023–present,SUV,Current,VF-BYD-SEALION-6-SONG-PLUS-DM-I-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BYD,Shark 6 DMO,Current,2024–present,Pickup,Current,VF-BYD-SHARK-6-DMO-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,BYD,Sealion 7,Current,2024–present,SUV,Current,VF-BYD-SEALION-7-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
