Make,Model Family,Priorities,Regions,Visual Family Count,China catalog?,Generations / Platforms,Body Styles,Production Years
DFSK,Glory 500,P1,Southern Africa/China export,1,Yes,Current export family,SUV,2019–present
DFSK,Glory 580,P1,Southern Africa/China export,1,Yes,Current export family,SUV,2016–present
Dongfeng,Box / Nammi 01,P1,Southern Africa/China export,1,Yes,Current,Hatchback,2023–present
Dongfeng,Mage,P1,Southern Africa/China export,1,Yes,Current,SUV,2022–present
Exeed,RX,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Foton,Tunland G7,P1,Southern Africa/China export,1,Yes,Current,Pickup,2019–present
Foton,Tunland V7/V9,P1,Southern Africa/China export,1,Yes,Current,Pickup,2024–present
GAC,Emkoo,P1,Southern Africa/China export,1,Yes,Current,SUV,2022–present
GAC,GS3 Emzoom,P1,Southern Africa/China export,1,Yes,Current,Crossover,2023–present
Geely,Coolray / Binyue,P1,Southern Africa/China export,1,Yes,Current export family,Crossover,2018–present
Geely,Emgrand,P1,Southern Africa/China export,1,Yes,Current,Sedan,2021–present
Geely,Starray / Boyue L,P1,Southern Africa/China export,1,Yes,Current,SUV,2022–present
Honda,Civic,P1,Southern Africa,1,No,8th–11th gen,Sedan/Hatch,2005–present
Honda,CR-V,P1,Southern Africa,1,No,3rd–6th gen,SUV,2006–present
Honda,Fit/Jazz,P1,Southern Africa,1,No,GD/GE/GK/GR,Hatchback,2001–present
Hongqi,HS5,P1,Southern Africa/China export,1,Yes,Current,SUV,2019–present
Hyundai,Creta,P1,Southern Africa,1,No,GS/SU2,Crossover,2014–present
Hyundai,i20,P1,Southern Africa,1,No,PB/GB/BC3,Hatchback,2008–present
Hyundai,Tucson,P1,Southern Africa,1,No,LM/TL/NX4,SUV,2009–present
JAC,T6,P1,Southern Africa/China export,1,Yes,Current regional family,Pickup,2015–present
JAC,T8,P1,Southern Africa/China export,1,Yes,Current,Pickup,2018–present
JAECOO,J5,P1,Southern Africa/China export,1,Yes,Current,SUV,2025–present
Jetour,T1,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
Jetour,T2,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Kia,Picanto,P1,Southern Africa,1,No,TA/JA,Hatchback,2011–present
Kia,Rio,P1,Southern Africa,1,No,UB/YB,Hatch/Sedan,2011–present
Kia,Sportage,P1,Southern Africa,1,No,SL/QL/NQ5,SUV,2010–present
Land Rover,Defender,P1,Southern Africa,1,No,L663,SUV,2020–present
Land Rover,Discovery Sport,P1,Southern Africa,1,No,L550,SUV,2014–present
Land Rover,Range Rover Evoque,P1,Southern Africa,1,No,L538/L551,SUV,2011–present
Leapmotor,C10,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
Lexus,RX,P1,Southern Africa,1,No,AL10/AL20/ALA10,SUV,2008–present
Li Auto,L7,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Lynk & Co,01,P1,Southern Africa/China export,1,Yes,Current,SUV,2017–present
Maxus,T90,P1,Southern Africa/China export,1,Yes,Current,Pickup,2021–present
Mazda,BT-50,P1,Southern Africa,1,No,UN/UP/TF,Pickup,2006–present
Mazda,CX-5,P1,Southern Africa,1,No,KE/KF,Crossover,2012–present
Mazda,Mazda3,P1,Southern Africa,1,No,BK/BL/BM-BN/BP,Sedan/Hatch,2003–present
Mercedes-Benz,C-Class,P1,Southern Africa,1,No,W203/W204/W205/W206,Sedan,2000–present
Mercedes-Benz,E-Class,P1,Southern Africa,1,No,W211/W212/W213/W214,Sedan,2002–present
Mercedes-Benz,Sprinter,P1,Southern Africa,1,No,W906/W907,Van,2006–present
MG,HS,P1,Southern Africa/China export,1,Yes,Current two generations,SUV,2018–present
MG,ZS,P1,Southern Africa/China export,1,Yes,Current two generations,Crossover,2017–present
Mitsubishi,Pajero Sport,P1,Southern Africa,1,No,Recent generations,SUV,2008–present
Mitsubishi,Triton,P1,Southern Africa,1,No,Recent regional generations,Pickup,2006–present
NIO,ES6 / EL6,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Nissan,Navara,P1,Southern Africa,1,No,D40/D23,Pickup,2004–present
Nissan,NP200,P1,Southern Africa,1,No,Logan pickup-derived,Pickup,2008–2024
Nissan,Qashqai,P1,Southern Africa,1,No,J10/J11/J12,Crossover,2006–present
Nissan,X-Trail,P1,Southern Africa,1,No,T30/T31/T32/T33,SUV,2000–present
OMODA,C7,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
OMODA,C9,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Opel,Corsa,P1,Southern Africa,1,No,D/E/F,Hatchback,2006–present
ORA,03 / Good Cat,P1,Southern Africa/China export,1,Yes,Current,Hatchback,2020–present
Peugeot,2008,P1,Southern Africa,1,No,A94/P24,Crossover,2013–present
Peugeot,208,P1,Southern Africa,1,No,A9/P21,Hatchback,2012–present
Peugeot,3008,P1,Southern Africa,1,No,Recent generations,SUV,2008–present
Radar/Riddara,RD6,P1,Southern Africa/China export,1,Yes,Current,Pickup,2022–present
Renault,Clio,P1,Southern Africa,1,No,IV/V,Hatchback,2012–present
Renault,Duster,P1,Southern Africa,1,No,Recent generations,SUV,2010–present
Roewe,RX5,P1,Southern Africa/China export,1,Yes,Current generations,SUV,2016–present
Subaru,Forester,P1,Southern Africa,1,No,SH/SJ/SK/SL,SUV,2008–present
Toyota,Corolla,P1,Southern Africa,4,No,E120/E130; E140/E150; E170; E210,Sedan; Sedan/Hatch,2000–2007; 2006–2013; 2013–2019; 2018–present
Toyota,Land Cruiser,P1,Southern Africa,1,No,J70/J200/J300,SUV/Pickup,1984–present
Toyota,Land Cruiser Prado,P1,Southern Africa,1,No,J120/J150/J250,SUV,2002–present
Toyota,RAV4,P1,Southern Africa,1,No,XA30/XA40/XA50,SUV,2005–present
Wuling,Bingo / Binguo,P1,Southern Africa/China export,1,Yes,Current,Hatchback,2023–present
Xiaomi,SU7,P1,Southern Africa/China export,1,Yes,Current,Sedan,2024–present
Xiaomi,YU7,P1,Southern Africa/China export,1,Yes,Current,SUV,2025–present
XPeng,G6,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Zeekr,001,P1,Southern Africa/China export,1,Yes,Current,Shooting brake,2021–present
Zeekr,X,P1,Southern Africa/China export,1,Yes,Current,Crossover,2023–present
Avatr,11,P2,China/export,1,Yes,Current,SUV,2022–present
Baojun,Yep / Yep Plus,P2,China/export,1,Yes,Current,Mini SUV,2023–present
Denza,D9,P2,China/export,1,Yes,Current,MPV,2022–present
Fangchengbao,Bao 5,P2,China/export,1,Yes,Current,SUV,2023–present
IM Motors,LS6,P2,China/export,1,Yes,Current,SUV,2023–present
Neta,V / Aya,P2,China/export,1,Yes,Current,Crossover,2020–present
Rising Auto,R7,P2,China/export,1,Yes,Current,SUV,2022–present
Venucia,D60,P2,China/export,1,Yes,Current,Sedan,2017–present
Voyah,Free,P2,China/export,1,Yes,Current,SUV,2021–present
Yangwang,U8,P2,China/export,1,Yes,Current,SUV,2023–present
